id,created_at,urgency,type,description,summary
P3JAZSL,2021-05-01 04:00:02 UTC,high,incident,"23.00.00>QZP4CHIN CSQXRESP CONNECTION UNEXPECTEDLY TERMINATED,","[#41684681] 23.00.00>QZP4CHIN CSQXRESP CONNECTION UNEXPECTEDLY TERMINATED,"
PWLB7FY,2021-05-01 04:00:03 UTC,low,incident,May 01 14:00:03 vRA SIT Portal Status 200,[#41684682] May 01 14:00:03 vRA SIT Portal Status 200
P22KNBI,2021-05-01 04:00:05 UTC,low,incident,May 01 14:00:05 vRA PROD Portal Status 200,[#41684683] May 01 14:00:05 vRA PROD Portal Status 200
P8A161W,2021-05-01 04:00:05 UTC,low,incident,MBCP DRP: mbcp01 restored and running,[#41684685] MBCP DRP: mbcp01 restored and running
PDDX9XP,2021-05-01 04:00:05 UTC,high,incident,DNS-RESOLUTION-FAILURE: echo-api.service.core.consul not resolved via consul.service.core.consul,[#41684684] DNS-RESOLUTION-FAILURE: echo-api.service.core.consul not resolved via consul.service.core.consul
P1RS4ZG,2021-05-01 04:00:06 UTC,high,incident,Lenovo DCG Call:[1] 018RN90 For SOMETHING DIFFERENT WH Logged: 20210430085200+0000 Model: SN:J3004DEX please check the TAT and adjust if needed (5),[#41684686] Lenovo DCG Call:[1] 018RN90 For SOMETHING DIFFERENT WH Logged: 20210430085200+0000 Model: SN:J3004DEX please check the TAT and adjust if needed (5)
PQ5ZW81,2021-05-01 04:00:07 UTC,low,incident,May 01 14:00:06 vRA DEV Portal Status 200,[#41684688] May 01 14:00:06 vRA DEV Portal Status 200
PFOPF3W,2021-05-01 04:00:07 UTC,high,incident,Lenovo DCG Call:[1] 018R5RG For UNIVERSITY OF EDINBURG Logged: 20210429093600+0000 Model: SN:J3030F0A please check the TAT and adjust if needed (5),[#41684687] Lenovo DCG Call:[1] 018R5RG For UNIVERSITY OF EDINBURG Logged: 20210429093600+0000 Model: SN:J3030F0A please check the TAT and adjust if needed (5)
P4X05C7,2021-05-01 04:00:08 UTC,high,incident,bluemix.containers-kubernetes.prod-osa21-carrier100.critical_node_memory_usage_on_10.8.7.125.jp-osa,[#41684689] bluemix.containers-kubernetes.prod-osa21-carrier100.critical_node_memory_usage_on_10.8.7.125.jp-osa
PJ5SM7M,2021-05-01 04:00:09 UTC,low,incident,May 01 14:00:08 vRA PREPROD Portal Status 200,[#41684690] May 01 14:00:08 vRA PREPROD Portal Status 200
PH3KU1G,2021-05-01 04:00:10 UTC,low,incident,SUP-LogServer encountered errors,[#41684691] SUP-LogServer encountered errors
PRB3F5Z,2021-05-01 04:00:23 UTC,high,incident,INC3838080:PDE2796051:PROBLEM  alert - VIOS_Hosts idal13-s9-39-vio1/__VIOS__Shared Ethernet Adapter__CRITICAL__SEA ent7 State__ IS CRITICAL,[#41684692] INC3838080:PDE2796051:PROBLEM  alert - VIOS_Hosts idal13-s9-39-vio1/__VIOS__Shared Ethernet Adapter__CRITICAL__SEA ent7 State__ IS CRITICAL
PNQNYR7,2021-05-01 04:00:24 UTC,high,incident,IBMAE-DEV-ALERT (monitor_heartbeat query violated Monitor heartbeat missing for 5 minutes metrics (YP - US-South)),[#41684693] IBMAE-DEV-ALERT (monitor_heartbeat query violated Monitor heartbeat missing for 5 minutes metrics (YP - US-South))
P6N9Y1I,2021-05-01 04:00:27 UTC,high,incident,INC3838081:PDE2796052:PROBLEM  alert - VIOS_Hosts idal13-s9-37-vio2/__VIOS__Disk Utilization__MINOR__/var/vio/VMLibrary__ IS CRITICAL,[#41684694] INC3838081:PDE2796052:PROBLEM  alert - VIOS_Hosts idal13-s9-37-vio2/__VIOS__Disk Utilization__MINOR__/var/vio/VMLibrary__ IS CRITICAL
PWZ9V6N,2021-05-01 04:00:31 UTC,high,incident,INC3838083:PDE2796054:PROBLEM  alert - VIOS_Hosts idal13-s9-44-vio1/__VIOS__Network Interface__CRITICAL__Device in Network Recovery Mode__ IS CRITICAL,[#41684697] INC3838083:PDE2796054:PROBLEM  alert - VIOS_Hosts idal13-s9-44-vio1/__VIOS__Network Interface__CRITICAL__Device in Network Recovery Mode__ IS CRITICAL
PAK2BKC,2021-05-01 04:00:31 UTC,high,incident,INC3401123:PDE2447084:Regression Test (ATF) IN02-a,[#41684696] INC3401123:PDE2447084:Regression Test (ATF) IN02-a
P05D2WQ,2021-05-01 04:00:33 UTC,high,incident,INC3838082:PDE2796053:PROBLEM  alert - VIOS_Hosts idal13-s9-48-vio1/__VIOS__Disk Utilization__CRITICAL__/opt__ IS CRITICAL,[#41684698] INC3838082:PDE2796053:PROBLEM  alert - VIOS_Hosts idal13-s9-48-vio1/__VIOS__Disk Utilization__CRITICAL__/opt__ IS CRITICAL
P0QV8LT,2021-05-01 04:00:37 UTC,high,incident,[FIRING:2] KubeNodeNotReady 10.65.121.135 (ibm wams-db2prod-wdc04-dashdb-prod3 Ready kube-rbac-proxy-main prod 172.30.41.228:8443 kube-state-metrics mpp ibm-wams-monitoring/k8s warning true),[#41684699] [FIRING:2] KubeNodeNotReady 10.65.121.135 (ibm wams-db2prod-wdc04-dashdb-prod3 Ready kube-rbac-proxy-main prod 172.30.41.228:8443 kube-state-metrics mpp ibm-wams-monitoring/k8s warning true)
PTAO0D6,2021-05-01 04:00:44 UTC,high,incident,INC3824029:PDE2710048:Regression Test (ATF) IN02-a,[#41684700] INC3824029:PDE2710048:Regression Test (ATF) IN02-a
PW388KC,2021-05-01 04:00:58 UTC,low,incident,va-stage-zone2 regcrawlerpriority_consumer_count_wrong_LP,[#41684701] va-stage-zone2 regcrawlerpriority_consumer_count_wrong_LP
PGUSORG,2021-05-01 04:01:03 UTC,high,incident,[FIRING:1] TargetDown node-exporter (ibm wams-db2prod-wdc04-dashdb-prod3 prod node-exporter ibm-wams-monitoring mpp ibm-wams-monitoring/k8s warning),[#41684702] [FIRING:1] TargetDown node-exporter (ibm wams-db2prod-wdc04-dashdb-prod3 prod node-exporter ibm-wams-monitoring mpp ibm-wams-monitoring/k8s warning)
