Day,Compose Default Sensu,High,Low,Compose EU Sensu,High,Low
1,160,29,131,2,0,2
2,159,2,157,7,0,7
3,238,42,196,6,1,5
4,158,5,153,10,1,9
5,179,8,171,9,5,4
6,169,2,167,7,1,6
7,177,5,172,5,0,5
8,149,1,148,8,1,7
9,163,7,156,6,1,5
10,174,5,169,6,1,5
11,157,2,155,8,0,8
12,239,90,149,10,4,6
13,163,3,160,5,0,5
14,250,7,243,6,0,6
15,142,1,141,7,0,7
16,161,7,154,7,0,7
17,172,17,155,8,1,7
18,170,13,157,5,0,5
19,158,3,155,5,0,5
20,1401,569,832,5,0,5
21,166,10,156,6,0,6
22,149,2,147,6,0,6
23,149,5,144,4,0,4
24,160,3,157,6,0,6
25,155,5,150,5,1,4
26,160,18,142,8,1,7
27,165,6,159,7,0,7
28,163,5,158,8,0,8
29,142,6,136,4,0,4
30,153,7,146,5,0,5
31,22,0,22,2,0,2
