Day,Compose Default Sensu,High,Low,Compose EU Sensu,High,Low
1,165,12,153,4,1,3
2,149,0,149,5,0,5
3,204,4,200,7,0,7
4,156,3,153,7,0,7
5,144,3,141,7,0,7
6,384,228,156,5,0,5
7,307,144,163,5,0,5
8,270,110,160,6,0,6
9,144,8,136,6,0,6
10,187,17,170,6,0,6
11,254,11,243,6,1,5
12,164,2,162,6,0,6
13,164,5,159,5,0,5
14,174,10,164,3,0,3
15,161,11,150,6,1,5
16,145,4,141,6,0,6
17,162,7,155,7,0,7
18,202,17,185,4,0,4
19,154,8,146,5,0,5
20,184,6,178,5,0,5
21,183,14,169,5,0,5
22,156,9,147,5,0,5
23,189,11,178,7,1,6
24,184,13,171,9,1,8
25,171,6,165,12,0,12
26,163,20,143,6,0,6
27,232,67,165,6,1,5
28,183,17,166,5,0,5
29,244,80,164,5,0,5
30,181,13,168,7,3,4
