Day,ICD Service - On-Call,High,Low,ICD Service - Infrastructure,High,Low,ICD BNPP EU Oncall,High,Low,ICD Prometheus,High,Low,ICD Softlayer Notices,High,Low,ICD Service - Informational-Notifications,High,Low
1,209,38,171,2,1,1,0,0,0,0,0,0,4,0,4,2,0,2
2,2023,94,1929,0,0,0,3,3,0,0,0,0,5,0,5,4,0,4
3,752,39,713,13,5,8,10,10,0,0,0,0,4,0,4,0,0,0
4,331,38,293,12,4,8,2,2,0,0,0,0,1,0,1,3,0,3
5,182,19,163,4,0,4,1,1,0,0,0,0,1,0,1,0,0,0
6,478,80,398,10,0,10,1,1,0,1,1,0,1,0,1,0,0,0
7,327,49,278,23,0,23,3,3,0,11,11,0,2,0,2,1,0,1
8,657,85,572,17,4,13,80,80,0,0,0,0,5,0,5,0,0,0
9,401,132,269,17,3,14,1,1,0,0,0,0,4,0,4,3,0,3
10,588,77,511,78,2,76,3,3,0,0,0,0,5,0,5,2,0,2
11,522,98,424,20,4,16,1,1,0,0,0,0,7,0,7,2,0,2
12,246,55,191,12,0,12,1,1,0,0,0,0,0,0,0,0,0,0
13,402,78,324,10,0,10,4,4,0,0,0,0,1,0,1,0,0,0
14,566,124,442,6,0,6,0,0,0,0,0,0,2,0,2,3,0,3
15,341,48,293,8,1,7,1,1,0,0,0,0,6,0,6,2,0,2
16,426,53,373,13,5,8,2,2,0,0,0,0,4,0,4,3,0,3
17,725,177,548,12,1,11,2,2,0,0,0,0,3,0,3,2,0,2
18,282,92,190,9,1,8,0,0,0,0,0,0,4,0,4,2,0,2
19,290,80,210,9,0,9,3,3,0,0,0,0,2,0,2,0,0,0
20,228,74,154,6,0,6,3,3,0,0,0,0,0,0,0,0,0,0
21,775,259,516,13,2,11,588,588,0,0,0,0,2,0,2,0,0,0
22,378,85,293,14,1,13,43,43,0,0,0,0,3,0,3,1,0,1
23,247,39,208,12,1,11,7,7,0,0,0,0,2,0,2,1,0,1
24,78,27,51,6,5,1,0,0,0,0,0,0,1,0,1,0,0,0
25,41,41,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
26,34,34,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
27,8,8,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
28,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,90,90,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0
30,87,87,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
